title,alias,artists,artist_aliases,country,genre,language,duration,notes,release_year,release_month
ファズ - ELECTRO CRUISIN' MIX,fazu  - ELECTRO CRUISIN' MIX,MUCC,,Japan,Jrock,Japanese,295,J,,
月光,gekkou,MUCC,,Japan,Jrock,Japanese,238,J,2007,11
GOKUSAI,,MUCC,,Japan,Jrock,Japanese,281,J,,
Nageki dori to doukebito,,MUCC,,Japan,Jrock,Japanese,236,J,,
Waga Arubekibasho,,MUCC,,Japan,Jrock,Japanese,285,J,,
路地裏 僕と君へ,rojiura   boku to kun he,MUCC,,Japan,Jrock,Japanese,262,J,2007,11
輝く世界,kagayaku sekai,MUCC,,Japan,Jrock,Japanese,326,J,,
赤線,akasen,MUCC,,Japan,Jrock,Japanese,188,J,,
New York New York,,Nina Hagen,,Germany,New wave,German,317,,2000,
Naturträne,Naturträne,Nina Hagen,,Germany,New wave,German,198,,2005,7
Cosma Shiva,,Nina Hagen,,Germany,New wave,German,198,,2010,7
Born in Xixax,,Nina Hagen,,Germany,New wave,English,174,,2021,
Future Is Now,,Nina Hagen,,Germany,New wave,German,175,,1991,
Wir leben immer ... noch (Lucky Number),,Nina Hagen,,Germany,New wave,German,294,,,
TV-Glotzer (White Punks On Dope),,Nina Hagen,,Germany,New wave,German,313,,2022,11
Heiss,,Nina Hagen,,Germany,New wave,German,251,,,
Unbeschreiblich Weiblich,,Nina Hagen,,Germany,New wave,German,210,,1979,
Smack Jack,,Nina Hagen,,Germany,New wave,English,316,,2020,
Beautiful Stranger,,f(x),,Korea,Kpop,Korean,248,K,2016,7
My Style,,f(x),,Korea,Kpop,Korean,222,K,2011,4
Step,,f(x),,Korea,Kpop,Korean,215,K,2013,7
Deja Vu,,f(x),,Korea,Kpop,Korean,220,K,2016,7
Traveler (feat. ZICO),,"f(x), ZICO",,Korea,Kpop,Korean,218,K,,
Papi,,f(x),,Korea,Kpop,Korean,185,K,2016,7
When I'm Alone,,f(x),,Korea,Kpop,Korean,203,K,2015,10
Zig Zag,,f(x),,Korea,Kpop,Korean,228,K,,
Chu~♡,Chu~♡,f(x),,Korea,Kpop,Korean,190,K,,
4 Walls,,f(x),,Korea,Kpop,Korean,207,K,2015,10
Mr. Boogie,,f(x),,Korea,Kpop,Korean,180,K,2010,5
Ice Cream,,f(x),,Korea,Kpop,Korean,186,K,2016,7
Dracula,,f(x),,Korea,Kpop,Korean,194,K,,
All Night,,f(x),,Korea,Kpop,Korean,210,K,,
Dangerous,,f(x),,Korea,Kpop,Korean,195,K,2011,6
Sweet Witches,,f(x),,Korea,Kpop,Korean,209,K,2016,7
MILK,,f(x),,Korea,Kpop,Korean,215,K,,
Signal,,f(x),,Korea,Kpop,Korean,200,K,2013,7
Airplane,,f(x),,Korea,Kpop,Korean,214,K,2016,7
Rude Love,,f(x),,Korea,Kpop,Korean,258,K,2015,10
Love,,f(x),,Korea,Kpop,Korean,195,K,2015,10
Lollipop (feat. SHINee),,"f(x), SHINee",,Korea,Kpop,Korean,190,K,,
Erode,,Dir en grey,,Japan,Jrock,Japanese,390,J,,
Schwein No Isu,,Dir en grey,,Japan,Jrock,Japanese,217,J,,
YURAMEKI,,Dir en grey,,Japan,Jrock,Japanese,305,J,2024,1
raison detre,,Dir en grey,,Japan,Jrock,Japanese,288,J,2004,3
"304 Goushitsu, Hakushi No Sakura",,Dir en grey,,Japan,Jrock,Japanese,318,J,,
YOKAN,,Dir en grey,,Japan,Jrock,Japanese,279,J,,
MASK,,Dir en grey,,Japan,Jrock,Japanese,265,J,2000,2
ZAN,,Dir en grey,,Japan,Jrock,Japanese,303,J,2004,3
Deity,,Dir en grey,,Japan,Jrock,Japanese,255,J,2007,12
MYAKU,,Dir en grey,,Japan,Jrock,Japanese,245,J,,
WAKE,,Dir en grey,,Japan,Jrock,Japanese,312,J,,
Hydra,,Dir en grey,,Japan,Jrock,Japanese,341,K,,
audrey,,Dir en grey,,Japan,Jrock,Japanese,273,J,2018,8
鬼眼-kigan-,oni me -kigan-,Dir en grey,,Japan,Jrock,Japanese,245,J,2017,3
FILTH,,Dir en grey,,Japan,Jrock,Japanese,295,J,,
embryo,,Dir en grey,,Japan,Jrock,Japanese,340,J,2002,3
Gyakujou Tannou Keloid Milk,,Dir en grey,,Japan,Jrock,Japanese,283,J,,
undecided,,Dir en grey,,Japan,Jrock,Japanese,293,J,2009,4
JESSICA,,Dir en grey,,Japan,Jrock,Japanese,253,J,,
鴉-karasu-,karasu -karasu-,Dir en grey,,Japan,Jrock,Japanese,326,J,2020,1
audience KILLER LOOP,,Dir en grey,,Japan,Jrock,Japanese,219,J,2006,5
THE IIID EMPIRE,,Dir en grey,,Japan,Jrock,Japanese,185,J,2004,3
G.D.S.,,Dir en grey,,Japan,Jrock,Japanese,466,J,2024,4
RED... [em],,Dir en grey,,Japan,Jrock,Japanese,301,J,2017,3
Merciless Cult,,Dir en grey,,Japan,Jrock,Japanese,175,J,,
MARLAMADE CHAINSAW,,Dir en grey,,Japan,Jrock,Japanese,253,J,,
CHILD PREY,,Dir en grey,,Japan,Jrock,Japanese,232,J,2004,3
AMBER,,Dir en grey,,Japan,Jrock,Japanese,288,J,2017,3
朔-saku-,saku -saku-,Dir en grey,,Japan,Jrock,Japanese,177,J,2005,11
"KODOKU NI SHISU, YUENI KODOKU",,Dir en grey,,Japan,Jrock,Japanese,205,J,,
ITOSHISA HA FUHAI NITSUKI,,Dir en grey,,Japan,Jrock,Japanese,255,J,,
GARBAGE,,Dir en grey,,Japan,Jrock,Japanese,169,J,2009,9
The Final,,Dir en grey,,Japan,Jrock,Japanese,252,J,2007,2
SPILLED MILK,,Dir en grey,,Japan,Jrock,Japanese,224,J,2006,5
HIGEKI HA MABUTA WO OROSHITA YASASHIKI UTSU,,Dir en grey,,Japan,Jrock,Japanese,308,J,,
CONCEIVED SORROW,,Dir en grey,,Japan,Jrock,Japanese,289,J,2019,8
RYOJOKU NO AME,,Dir en grey,,Japan,Jrock,Japanese,242,J,,
SA BIR,,Dir en grey,,Japan,Jrock,,120,J,2009,9
DOZING GREEN,,Dir en grey,,Japan,Jrock,Japanese,246,J,2008,11
umbrella,,Dir en grey,,Japan,Jrock,Japanese,246,J,2017,3
children,,Dir en grey,,Japan,Jrock,Japanese,241,J,2004,3
BYOU 「」SHIN,BYOU 「」SHIN,Dir en grey,,Japan,Jrock,Japanese,337,J,,
GLASS SKIN,,Dir en grey,,Japan,Jrock,Japanese,270,J,2010,6
ISOLATION,,Dir en grey,,Japan,Jrock,Japanese,122,J,2026,4
Discard,,Dir en grey,,Japan,Jrock,Japanese,295,J,,
Void,,Dir en grey,,Japan,Jrock,Japanese,362,J,2026,4
Posse In Effect,,Beastie Boys,,USA,Hip hop,English,146,Ox,,
Slow And Low,,Beastie Boys,,USA,Hip hop,English,218,Cx,,
"Hold It Now, Hit It",,Beastie Boys,,USA,Hip hop,English,206,Ox,1997,
Rewind,,Wonder Girls,,Korea,Kpop,Korean,213,K,2015,8
Why So Lonely,,Wonder Girls,,Korea,Kpop,Korean,206,K,,
GONE,,Wonder Girls,,Korea,Kpop,Korean,221,K,2015,8
I Feel You,,Wonder Girls,,Korea,Kpop,Korean,205,K,2015,8
Baby Don't Play,,Wonder Girls,,Korea,Kpop,Korean,211,K,2015,8
Candle (feat. Paloalto),,"Wonder Girls, Paloalto",,Korea,Kpop,Korean,224,K,,
비밀은 없어,bimil-eun eobs-eo,룰라,lulla,Korea,Kpop,Korean,243,K,,
Moving,,룰라,lulla,Korea,Kpop,Korean,276,K,,
사랑법,salangbeob,룰라,lulla,Korea,Kpop,Korean,226,K,,
Prayer (Good),,룰라,lulla,Korea,Kpop,Korean,245,K,,
천상유애(天上有愛),  ( tenjou ari ai ),룰라,lulla,Korea,Kpop,Korean,259,K,,
영웅은 어디로,yeong-ung-eun eodilo,룰라,lulla,Korea,Kpop,Korean,205,K,,
프로와 아마츄어,peulo-wa amachyu-eo,룰라,lulla,Korea,Kpop,Korean,226,K,,
Hotel California,,룰라,lulla,Korea,Kpop,English,264,K,,
Koreana In New York,,룰라,lulla,Korea,Kpop,English,196,K,,
사랑의 기도,salang-ui gido,룰라,lulla,Korea,Kpop,Korean,212,K,,
흔들리며,heundeullimyeo,룰라,lulla,Korea,Kpop,Korean,220,K,,
연인,yeon-in,룰라,lulla,Korea,Kpop,Korean,225,K,,
3!4!,,룰라,lulla,Korea,Kpop,Korean,249,K,,
안녕,annyeong,룰라,lulla,Korea,Kpop,Korean,217,K,,
날개 잃은 천사,nalgae ilh-eun cheonsa,룰라,lulla,Korea,Kpop,Korean,242,K,,
American Money,,SEATBELTS,,Japan,Airbreak,English,67,J,,
Fantaisie Sign,,Carla Vallet,,Japan,Pop,French,318,J,2023,12
Bindy,,SEATBELTS,,Japan,Jazz,,138,J,,
Time to Know - Be Waltz,,SEATBELTS,,Japan,Jazz,,229,J,,
The Real Man,,SEATBELTS,,Japan,Jazz,,240,J,,
Flip Reverse,,장우혁,jang-uhyeog,Korea,Kpop,Korean,197,K,2005,9
Pump Flow,,장우혁,jang-uhyeog,Korea,Kpop,Korean,219,K,2005,9
지지 않는 태양,jiji anhneun tae-yang,장우혁,jang-uhyeog,Korea,Kpop,Korean,214,K,2005,9
Shake it Shake It!,,장우혁,jang-uhyeog,Korea,Kpop,Korean,215,K,2005,9
S Scenario,,장우혁,jang-uhyeog,Korea,Kpop,Korean,215,K,,
WEEKAND,,장우혁,jang-uhyeog,Korea,Kpop,Korean,193,K,,
PIToRRO DE COCO,,Bad Bunny,,USA,Reggaeton,Spanish,206,Latin,2025,1
Neverita,,Bad Bunny,,USA,Latin,Spanish,173,Latin,2022,5
Ojitos Lindos (feat. Bomba Estéreo),,"Bomba Estéreo, Bad Bunny",Bomba Estéreo,USA,Latin,Spanish,258,Latin,,
Otro Atardecer (feat. The Marías),,"Bad Bunny, The Marías",The Marías,USA,Latin,Spanish,244,Latin,,
Me Fui de Vacaciones,,Bad Bunny,,USA,Latin,Spanish,180,Latin,2022,8
NUEVAYoL,,Bad Bunny,,USA,Latin,Spanish,183,Latin,,
WELTiTA (feat. Chuwi),,"Bad Bunny, Chuwi",,USA,Latin,Spanish,187,Latin,,
LO QUE LE PASÓ A HAWAii,LO QUE LE PASÓ A HAWAii,Bad Bunny,,USA,Latin,Spanish,229,Latin,2025,1
Yo Perreo Sola,,Bad Bunny,,USA,Latin,Spanish,172,Latin,,
Después de la Playa,Después de la Playa,Bad Bunny,,USA,Latin,Spanish,230,Latin,2022,5
Amarillo,,J Balvin,,Colombia,Latin trap,Spanish,157,Latin,2020,6
The Man with the Machine Gun,,Nobuo Uematsu,,Japan,Soundtrack,,216,Soundtrack,,
NICE TRY,,Dev Lemons,,USA,Alt pop,English,120,,2025,6
MEDIA TRAIN,,Dev Lemons,,USA,Alt pop,English,123,,2025,8
DON'T PINCH ME,,Dev Lemons,,USA,Alt pop,English,162,,2025,8
NOTHING CHANGES,,Dev Lemons,,USA,Alt pop,English,219,,2025,8
BROKE YOUR COVER,,Dev Lemons,,USA,Alt pop,English,187,,2025,8
You Tear Me Apart,,Dev Lemons,,USA,Alt pop,English,177,,2023,4
In The Party (feat. Billy Lemos),,"Dev Lemons, Billy Lemos",,USA,Alt Pop,English,156,,,
Give Mama A Hug,,Dev Lemons,,USA,Alt pop,English,173,,2024,2
Freak Show,,Dev Lemons,,USA,Alt pop,English,128,,2024,3
Guessing Games,,Dev Lemons,,USA,Alt pop,English,187,,2021,8
Sirocco,,Loco Mía,Loco Mía,Spain,Pop,Spanish,277,Latin,1991,
Locomia,,Loco Mía,Loco Mía,Spain,Pop,Spanish,345,Latin,,
R S M (Rumba Samba Mambo),,Loco Mía,Loco Mía,Spain,Pop,Spanish,367,Latin,2007,4
Loco Vox,,Loco Mía,Loco Mía,Spain,Pop,Spanish,228,Latin,2007,4
Sueño de Papel,Sueño de Papel,Loco Mía,Loco Mía,Spain,Pop,Spanish,202,Latin,,
Te Lo Voy A Dar 'Pumba Pumba-Cha Cha Cha',,Loco Mía,Loco Mía,Spain,Pop,Spanish,299,Latin,,
Move Your Body,,Loco Mía,Loco Mía,Spain,Pop,Spanish,286,Latin,2007,4
Obsesiva 'Abgefahrn',,Loco Mía,Loco Mía,Spain,Pop,Spanish,453,Latin,2007,4
Party Time,,Loco Mía,Loco Mía,Spain,Pop,Spanish,350,Latin,2007,4
WHITE SONG,,HYDE,,Japan,Pop,Japanese,315,J,,
OASIS,,HYDE,,Japan,Pop,Japanese,276,J,2002,7
A DROP OF COLOUR,,HYDE,,Japan,Pop,Japanese,273,J,,
Sugar Free,,T-ARA,,Korea,Pop,Korean,235,K,,
ROLY-POLY,,T-ARA,,Korea,Pop,Korean,214,K,,
SEXY LOVE,,T-ARA,,Korea,Pop,Korean,225,K,,
Lovey-Dovey,,T-ARA,,Korea,Pop,Korean,215,K,2012,10
(It Goes Like) Nanana - Edit,,Peggy Gou,,Korea,Deep house,English,231,K,,
I Go - Edit,,Peggy Gou,,Korea,Deep house,English,224,K,,
1+1=11 - Edit,,Peggy Gou,,Korea,Deep house,English,190,K,,
Sugar Water Cyanide,,Rebecca Black,,USA,Pop,English,174,Pop,2025,2
TRUST!,,Rebecca Black,,USA,Pop,English,171,Pop,2025,2
Salvation,,Rebecca Black,,USA,Pop,English,200,Pop,2025,2
Crumbs,,Rebecca Black,,USA,Pop,English,193,Pop,2023,2
Twist The Knife,,Rebecca Black,,USA,Pop,English,205,Pop,2025,2
Tears In My Pocket,,Rebecca Black,,USA,Pop,English,177,Pop,2025,2
Do You Even Think About Me?,,Rebecca Black,,USA,Pop,English,196,Pop,2025,2
Tukoh Taka - Official FIFA Fan Festival™ Anthem,Tukoh Taka - Official FIFA Fan Festival™ Anthem,"Nicki Minaj, Maluma, Myriam Fares, FIFA Sound",,idk,Pop,Various,178,talk over Nicki lol,,
Loba,,Shakira,,Colombia,Pop,Spanish,188,Latin,2009,
"Shakira: Bzrp Music Sessions, Vol. 53/66",,"Shakira, Bizarrap",,Colombia,Pop,Spanish,214,Latin,,
Choka Choka,,"Anitta, Shakira",,Brasil,Pop,"Spanish, Portuguese",131,Latin,2026,4
Te Felicito,,"Shakira, Rauw Alejandro",,Colombia,Pop,Spanish,172,Latin,2024,3
TODO ROTO,,"Nathy Peluso, CA7RIEL, Paco Amoroso",,Spain,Pop,Spanish,187,Latin,,
SALVAJE,,Nathy Peluso,,Spain,Pop,Spanish,205,Latin,2023,7
REAL,,Nathy Peluso,,Spain,Pop,Spanish,179,Latin,,
DELITO,,Nathy Peluso,,Spain,Pop,Spanish,203,Latin,2020,10
Pulse,,KAZAKY,,Ukraine,Pop,English,190,R/U,2013,12
Touch Me,,KAZAKY,,Ukraine,Pop,English,200,R/U,2013,7
Crazy Law,,KAZAKY,,Ukraine,Pop,English,231,R/U,2013,7
Lowkey,,Kari Faux,,USA,Pop,English,169,,2017,9
Paradinha,,Anitta,,Brasil,Pop,Portuguese,141,Latin,2017,5
Bang,,Anitta,,Brasil,Pop,Portuguese,190,Latin,2015,10
Medicina,,Anitta,,Brasil,Pop,Portuguese,141,Latin,2018,7
Na batida,,Anitta,,Brasil,Pop,Portuguese,163,Latin,2014,7
Kiat Jud Dong,,DJ Red Core,,Philippines,Budots,Cebuano,257,BUDOTS,,
Basuri - Budots,,DJ KRZ,,Philippines,Budots,,200,BUDOTS,,
Di Ko Kaya Mag Inom Hanggang Umaga - Budots,,DJ Sandy,,Philippines,Budots,Tagalog,257,Budots,,
"Emergency (feat. Prezioso, Marvin & Andrea Prezioso)",,"DJ Johnrey, Prezioso, Marvin & Andrea Prezioso",,Philippines,Budots,English,151,Budots,,
野花香 - DJ咚鼓版,nobana kaori  - DJ  han,豪大大,gou dai dai,China,Jiafei,Chinese,153,Jiafei,,
