title,alias,artists,artist_aliases,country,genre,language,duration,notes,release_year,release_month
Likey,,TWICE,,Korea,Kpop,Korean,207,K,2020,7
CHERRY,,ITZY,,Korea,Kpop,Korean,190,K,2023,8
HIP,,MAMAMOO,,Korea,Kpop,Korean,195,K,2019,11
I Can Make You Dance,,Zapp,,USA,Disco,English,239,Ox,,
Good Times,,CHIC,,USA,Disco,English,495,Ox,1996,
Natty Rebel,,U-Roy,,USA,Dub,English,204,Reggae,1990,
Moonlight Romance,,Amazulu,,UK,Soul,English,211,Reggae,1986,
Bright Lights (Netsky Remix) (feat. William Cartwright),,"Die & Interface, William Cartwright",,UK,Electronic,English,290,Fx,,
Big Brother UK TV Theme (Vocal Mix - Radio Edit),,ElementFour,,UK,Trance,English,200,Fx,,
セニョール セニョーラ セニョリータ,senyooru   senyoora   senyoriita,MIYAVI,,Japan,Pop,Japanese,263,J,2008,12
MIЯROR,MIJaROR,D'espairsRay,,Japan,Visual kei,Japanese,250,J,2007,9
Lost Scene,,D'espairsRay,,Japan,Visual kei,Japanese,268,J,2007,6
Tu Sicaria,,"Ms Nina, Beauty Brain",,Spain,Perreo,Spanish,147,Latin,2017,1
홀리가든,holligadeun,비디오로즈,bidi-olojeu,Korea,Synth pop,English,145,K,,
Afterglow,,FAKY,,Japan,Jpop,Japanese,187,J,2016,6
В ТЕМНОТЕ ТАНЦУЙ,V TEMNOTE TANTsUJ,ЯАVЬ,JaAV',Russia,Pop,Russian,240,R/U,2019,1
Taboo Tears You Up,,IOSYS,,Japan,Touhou,,218,Fx,2007,8
이브의 경고,ibeu-ui gyeonggo,박미경,bagmigyeong,Korea,Dance ballad,Korean,252,K,,
Abracadabra,,Brown Eyed Girls,,Korea,Kpop,Korean,184,K,,
Rumors,,Lindsay Lohan,,USA,Pop,English,196,cringe,2005,
With Love,,Hillary Duff,,USA,Pop,English,181,cringe,,
Boogie Shoes,,KC & The Sunshine Band,,USA,Funk,English,132,Cx,2006,
잘못된 만남,jalmosdoen mannam,김건모,gimgeonmo,Korea,Kpop,Korean,258,K/Ox,1995,1
Outside Castle (The Castle Outsiders),,에쵸티,echyoti,Korea,Kpop,Korean,326,K,,
Here I Am (Come and Take Me),,Al Green,,USA,R&B,English,257,Cx,2001,
Boogie Oogie Oogie,,A Taste Of Honey,,USA,Disco,English,337,Cx,2001,11
Let It Whip,,Dazz Band,,USA,R&B,English,281,Cx,1998,
Atomic Dog,,George Clinton,,USA,Funk,English,255,Cx,2006,
2 Legit 2 Quit (feat. Saja),,"MC Hammer, Saja",,USA,Hip hop,English,336,Ox,,
Leave You Far Behind,,Lunatic Calm,,UK,Big Beat,English,192,UK,1998,
Them Changes,,Thundercat,,USA,Funk,English,188,Funk,2022,10
Pulse (Mahjong Instrumental Mix),,Malexa,,UK,Electronic,,471,contemp,,
Get Wavey,,Redlight,,USA,Electronic,English,310,Fx,2019,
texture bath,,FM Skyline,,USA,Vaporwave,,222,Fx,2019,2
2 Phút Hơn (KAIZ Remix),2 Phút Hơn (KAIZ Remix),Pháo,Pháo,Vietnam,Electronic,Vietnamese,184,Viet,2021,11
Muito Calor,,"Ozuna, Anitta",,,Latin,Spanish,185,Latin,2019,7
Mamacita (feat. Farruko),,"Jason Derulo, Farruko",,USA,Pop,Spanish,204,Latin,,
Soy Yo,,Bomba Estéreo,Bomba Estéreo,Colombia,Electrocumbia,Spanish,159,Latin,2018,3
Um Côco,Um Côco,Zuco 103,,Netherlands,Brazilectro,,260,Latin,2015,6
野花香,nobana kaori,"莫斯滿, 老貓","baku shi man, rou ",China,Pop,Chinese,192,Cn,2019,7
Doctor,,ちゃんみな,chanmina,Japan,Hip hop,Japanese,183,J,,
FORGIVE ME,,ちゃんみな,chanmina,Japan,Pop,Japanese,143,J,2025,7
help_urself,,Ezekiel,,UK,Dnb,English,140,Fx,2021,9
"Clear (Jose ""Animal"" Diaz Remix)",,Cybotron,,USA,Electro,English,294,Ox,,
Addicted,,PIXY,,Korea,Kpop,Korean,197,K,2021,10
SWIPE,,ITZY,,Korea,Kpop,Korean,177,K,2021,9
Alcohol-Free,,TWICE,,Korea,Kpop,Korean,210,K,2023,9
SO BAD,,STAYC,,Korea,Kpop,Korean,212,K,2020,11
Shh,,After School,,Japan,Jpop,Japanese,295,K,2015,3
Arcarsenal,,At the Drive-In,,USA,Post-hardcore,English,174,Rock,,
Chicken Teriyaki,,ROSALÍA,ROSALÍA,Spain,Reggaeton,Spanish,122,Latin,2022,
moment,,Vierre Cloud,,Australia,Dnb,English,129,Fx,2019,12
Same Song,,Digital Underground,,USA,Hip hop,English,390,Ox,2009,3
B.O.T.A. (Baddest Of Them All) - Edit,,"Eliza Rose, Interplanetary Criminal",,UK,House,English,226,Fx,,
Just Be Good to Me,,the S.O.S. Band,,USA,Funk,English,250,Ox,1989,
"So Ruff, so Tuff",,Zapp,,USA,Funk,English,215,Ox,2019,3
Burn Rubber On Me (Why You Wanna Hurt Me),,The Gap Band,,USA,Funk,English,252,Ox/Cx,1996,
Operator,,Midnight Star,,USA,R&B dance,English,448,Ox,1995,
Freak-a-Zoid,,Midnight Star,,USA,Electro,English,485,Ox,1994,
Зачем,Zachem,"5sta Family, АДЛИН, Килджо","ADLYN, Kyldzho",Russia,Phonk,Russian,168,R/U,2015,7
Zachem,,"5sta Family, 6YNTHMANE, BAbyBoi",,Russia,phonk pop,Russian,112,R/U,2024,6
Ничья,Nych'ja,Nichya,,Russia,Pop,Russian,200,R/U,,
Rapid Racer,,Lone,,UK,Dance,,252,Fx,2011,3
Про красивую жизнь,Pro krasyvuju zhyzn',Банд’Эрос,Band’Эros,Russia,Pop,Russian,221,R/U,2007,
