title,alias,artists,artist_aliases,country,genre,language,duration,notes
"Street Player",,Chicago,,USA,Disco,English,551,Cx
"In My Mind (feat. Crystal Waters)",,"Never Dull, Crystal Waters",,USA,House,Engish,373,Fx
"Footsteps in the Dark, Pts. 1 & 2",,"The Isley Brothers",,USA,R&B,English,306,Cx
"It Was a Good Day",,"Ice Cube",,USA,"Hip hop",English,260,Ox
Fate,,"Chaka Khan",,USA,Disco,English,194,Cx
"Music Sounds Better with You",,Stardust,,France,House,English,403,Fx
Colors,,"Hikaru Utada","Utada Hikaru",Japan,Synthpop,Japanese,239,J
"テイク５","Take 5","宇多田ヒカル","Hikaru Utada",Japan,"Dance pop",Japanese,225,J
"嘘みたいな (I Love You)","uso mitaina  (I Love You )","宇多田ヒカル","Hikaru Utada",Japan,Pop,Japanese,286,J
Synrise,,Goose,,UK,Electronic,n/a,332,Fx
"All Night Long",,"Mary Jane Girls",,USA,Funk,English,334,Cx
"Buffalo Stance",,"Neneh Cherry",,UK,"Hip hop",English,342,Ox
"Move On Up (Single Edit)",,"Curtis Mayfield",,USA,"Progressive soul",English,173,Cx
"We're Rocking The Planet",,Hashim,,USA,Electro,English,346,Ox
"Al-Naafiysh (The Soul)",,Hashim,,USA,Electro,,333,Ox
"Sucker M.C.'s (Krush-Groove 1)",,Run-D.M.C.,,USA,"Hip hop",English,189,Ox
"Sponji Reggae",,"Black Uhuru",,Jamaica,"Roots reggae",English,293,Reggae
"Columbus - 2002 Remastered Version",,"Burning Spear",,Jamaica,"Roots reggae",English,217,Reggae
Zungguzungguguzungguzeng,,Yellowman,,Jamaica,Dancehall,English,387,Reggae
"Nobody Move Nobody Get Hurt",,Yellowman,,Jamaica,Dancehall,English,223,Reggae
"Funky Worm",,"Ohio Players",,USA,Funk,English,161,Cx
"Skin Tight",,"Ohio Players",,USA,Funk,English,474,Cx
"FILTH IN THE BEAUTY",,"the GazettE",,Japan,"Visual Kei",Japanese,251,J
"Give Up The Funk (Tear The Roof Off The Sucker)",,Parliament,,USA,Funk,English,348,Cx
Heliosphan,,"Aphex Twin",,UK,Ambient,,296,Fx
"He's the Greatest Dancer",,"Sister Sledge",,USA,Disco,English,376,Cx
"Get Off",,Foxy,,USA,Disco,English,244,Cx
Likey,,TWICE,,Korea,Kpop,Korean,207,K
CHERRY,,ITZY,,Korea,Kpop,Korean,190,K
HIP,,MAMAMOO,,Korea,Kpop,Korean,195,K
"I Can Make You Dance",,Zapp,,USA,Disco,English,239,Ox
"Good Times",,CHIC,,USA,Disco,English,495,Ox
"Natty Rebel",,U-Roy,,USA,Dub,English,204,Reggae
"Moonlight Romance",,Amazulu,,UK,Soul,English,211,Reggae
"Bright Lights (Netsky Remix) (feat. William Cartwright)",,"Die & Interface, William Cartwright",,UK,Electronic,English,290,Fx
"Big Brother UK TV Theme (Vocal Mix - Radio Edit)",,ElementFour,,UK,Trance,English,200,Fx
"セニョール セニョーラ セニョリータ","senyooru   senyoora   senyoriita",MIYAVI,,Japan,Pop,Japanese,263,J
"MIЯROR",MIJaROR,"D'espairsRay",,Japan,"Visual kei",Japanese,250,J
"Lost Scene",,"D'espairsRay",,Japan,"Visual kei",Japanese,268,J
"Tu Sicaria",,"Ms Nina, Beauty Brain",,Spain,Perreo,Spanish,147,Latin
"홀리가든",holligadeun,"비디오로즈",bidi-olojeu,Korea,"Synth pop",English,145,K
Afterglow,,FAKY,,Japan,Jpop,Japanese,187,J
"В ТЕМНОТЕ ТАНЦУЙ","V TEMNOTE TANTsUJ","ЯАVЬ","JaAV'",Russia,Pop,Russian,240,R/U
"Taboo Tears You Up",,IOSYS,,Japan,Touhou,,218,Fx
"이브의 경고","ibeu-ui gyeonggo","박미경",bagmigyeong,Korea,"Dance ballad",Korean,252,K
Abracadabra,,"Brown Eyed Girls",,Korea,Kpop,Korean,184,K
Rumors,,"Lindsay Lohan",,USA,Pop,English,196,cringe
"With Love",,"Hillary Duff",,USA,Pop,English,181,cringe
"Boogie Shoes",,"KC & The Sunshine Band",,USA,Funk,English,132,Cx
"잘못된 만남","jalmosdoen mannam","김건모",gimgeonmo,Korea,Kpop,Korean,258,K/Ox
"Outside Castle (The Castle Outsiders)",,"에쵸티",echyoti,Korea,Kpop,Korean,326,K
"Here I Am (Come and Take Me)",,"Al Green",,USA,R&B,English,257,Cx
"Boogie Oogie Oogie",,"A Taste Of Honey",,USA,Disco,English,337,Cx
"Let It Whip",,"Dazz Band",,USA,R&B,English,281,Cx
"Atomic Dog",,"George Clinton",,USA,Funk,English,255,Cx
"2 Legit 2 Quit (feat. Saja)",,"MC Hammer, Saja",,USA,"Hip hop",English,336,Ox
"Leave You Far Behind",,"Lunatic Calm",,UK,"Big Beat",English,192,UK
"Them Changes",,Thundercat,,USA,Funk,English,188,Funk
"Pulse (Mahjong Instrumental Mix)",,Malexa,,UK,Electronic,,471,contemp
"Get Wavey",,Redlight,,USA,Electronic,English,310,Fx
"texture bath",,"FM Skyline",,USA,Vaporwave,,222,Fx
"2 Phút Hơn (KAIZ Remix)","2 Phút Hơn (KAIZ Remix)","Pháo","Pháo",Vietnam,Electronic,Vietnamese,184,Viet
"Muito Calor",,"Ozuna, Anitta",,,Latin,Spanish,185,Latin
"Mamacita (feat. Farruko)",,"Jason Derulo, Farruko",,USA,Pop,Spanish,204,Latin
"Soy Yo",,"Bomba Estéreo","Bomba Estéreo",Colombia,Electrocumbia,Spanish,159,Latin
"Um Côco","Um Côco","Zuco 103",,Netherlands,Brazilectro,,260,Latin
"野花香","nobana kaori","莫斯滿, 老貓","baku shi man, rou ",China,Pop,Chinese,192,Cn
Doctor,,"ちゃんみな",chanmina,Japan,"Hip hop",Japanese,183,J
"FORGIVE ME",,"ちゃんみな",chanmina,Japan,Pop,Japanese,143,J
help_urself,,Ezekiel,,UK,Dnb,English,140,Fx
"Clear (Jose ""Animal"" Diaz Remix)",,Cybotron,,USA,Electro,English,294,Ox
Addicted,,PIXY,,Korea,Kpop,Korean,197,K
SWIPE,,ITZY,,Korea,Kpop,Korean,177,K
Alcohol-Free,,TWICE,,Korea,Kpop,Korean,210,K
"SO BAD",,STAYC,,Korea,Kpop,Korean,212,K
Shh,,"After School",,Japan,Jpop,Japanese,295,K
Arcarsenal,,"At the Drive-In",,USA,Post-hardcore,English,174,Rock
"Chicken Teriyaki",,"ROSALÍA","ROSALÍA",Spain,Reggaeton,Spanish,122,Latin
moment,,"Vierre Cloud",,Australia,Dnb,English,129,Fx
"Same Song",,"Digital Underground",,USA,"Hip hop",English,390,Ox
"B.O.T.A. (Baddest Of Them All) - Edit",,"Eliza Rose, Interplanetary Criminal",,UK,House,English,226,Fx
"Just Be Good to Me",,"the S.O.S. Band",,USA,Funk,English,250,Ox
"So Ruff, so Tuff",,Zapp,,USA,Funk,English,215,Ox
"Burn Rubber On Me (Why You Wanna Hurt Me)",,"The Gap Band",,USA,Funk,English,252,Ox/Cx
Operator,,"Midnight Star",,USA,"R&B dance",English,448,Ox
